ID,YCategoryName,階層
40562,スプリングマットレス,家具、インテリア > ベッド、マットレス > マットレス > スプリングマットレス
40569,掛け布団,家具、インテリア > 布団、寝具 > 布団 > 掛け布団
40571,布団セット,家具、インテリア > 布団、寝具 > 布団 > 布団セット
40572,敷き布団,家具、インテリア > 布団、寝具 > 布団 > 敷き布団
40574,子供用枕、ピロー,家具、インテリア > 子供部屋家具 > 寝具、布団 > 枕、ピロー
40574,子供用枕、ピロー,家具、インテリア > 布団、寝具 > 子供用寝具、布団 > 枕、ピロー
40577,敷きパッド,家具、インテリア > 布団、寝具 > シーツ、カバー > 敷きパッド
40579,ベッドスカート,家具、インテリア > 布団、寝具 > シーツ、カバー > ベッドスカート
3636,チェスト、タンス,家具、インテリア > チェスト、衣類収納 > チェスト、タンス
3641,文机,家具、インテリア > デスク、机 > 文机
3643,その他デスク、机,家具、インテリア > デスク、机 > その他デスク、机
3650,その他テーブル,家具、インテリア > テーブル > その他テーブル
3652,二段ベッド,家具、インテリア > ベッド、マットレス > ベッド > 二段ベッド
3652,二段ベッド,家具、インテリア > 子供部屋家具 > ベッド > 二段ベッド
3654,ロフトベッド,家具、インテリア > ベッド、マットレス > ベッド > ロフトベッド
3657,キッズチェスト,ベビー、キッズ、マタニティ > 子ども用家具 > キッズチェスト
3657,キッズチェスト,家具、インテリア > 子供部屋家具 > チェスト
3669,掛け布団カバー,家具、インテリア > 布団、寝具 > シーツ、カバー > 掛け布団カバー
3670,敷き布団用カバー,家具、インテリア > 布団、寝具 > シーツ、カバー > 敷き布団用カバー
3672,枕カバー,家具、インテリア > 布団、寝具 > シーツ、カバー > 枕カバー
3675,タオルケット、キルトケット,家具、インテリア > 布団、寝具 > タオルケット > タオルケット、キルトケット
3681,枕、ピロー,家具、インテリア > 布団、寝具 > 枕、ピロー > 枕、ピロー
3684,その他布団、寝具,家具、インテリア > 布団、寝具 > その他布団、寝具
3727,キッチンワゴン,家具、インテリア > キッチン収納 > キッチンワゴン
4223,家具転倒防止用品,キッチン、日用品、文具 > 防災、防犯、セーフティ > 家具転倒防止用品
4356,会議、ミーティングチェア,家具、インテリア > オフィス家具 > オフィスチェア > 会議、ミーティングチェア
4357,オフィス、ワークチェア,家具、インテリア > オフィス家具 > オフィスチェア > オフィス、ワークチェア
4357,オフィス、ワークチェア,家具、インテリア > 椅子、スツール、座椅子 > オフィス、ワークチェア
4358,オフィス用スツール,家具、インテリア > オフィス家具 > オフィスチェア > オフィス用スツール
4359,その他オフィスチェア,家具、インテリア > オフィス家具 > オフィスチェア > その他オフィスチェア
4360,その他応接セット,家具、インテリア > オフィス家具 > 受付、応接家具 > その他応接セット
4363,その他オフィス収納,家具、インテリア > オフィス家具 > オフィス収納 > その他オフィス収納
